id,common_name,scientific_name,cycle,watering,sunlight
217,Forest Pansy Redbud,Cercis canadensis 'Forest Pansy',Perennial,Average,"full sun, part sun/part shade"
218,Hearts of Gold Redbud,Cercis canadensis 'Hearts of Gold',Perennial,Average,"full sun, part sun/part shade"
219,Little Woody Redbud,Cercis canadensis 'Little Woody',Perennial,Average,"full sun, part sun/part shade"
220,Lawson Falsecypress,Chamaecyparis lawsoniana,Perennial,Average,"full sun, part shade"
221,Blue Nootka Cypress,Chamaecyparis nootkatensis 'Glauca',Perennial,Average,full sun
222,Green Arrow Nootka Cypress,Chamaecyparis nootkatensis 'Green Arrow',Perennial,Average,"full sun, part sun/part shade"
223,Weeping Nootka Cypress,Chamaecyparis nootkatensis 'Pendula',Perennial,Average,"full sun, part sun/part shade"
224,Golden Hinoki Falsecypress,Chamaecyparis obtusa 'Aurea',Perennial,Average,"full sun, part shade"
225,Compact Hinoki Falsecypress,Chamaecyparis obtusa 'Compacta',Perennial,Average,"full sun, part shade"
226,Cripps Gold Falsecypress,Chamaecyparis obtusa 'Crippsii',Perennial,Average,"full sun, part shade"
227,Well's Special Hinoki Falsecypress,Chamaecyparis obtusa 'Well's Special',Perennial,Average,"full sun, part shade"
228,Threadleaf Falsecypress,Chamaecyparis pisifera 'Filifera',Perennial,Average,"full sun, part sun/part shade"
229,Red Star Whitecedar,Chamaecyparis thyoides 'Red Star',Perennial,Average,"Full sun, part shade"
230,Chinese Fringetree,Chionanthus retusus,Perennial,Average,"Full sun, part shade"
231,White Fringetree,Chionanthus virginicus,Annual,Average,"full sun, part shade"
232,Morning Cloud Chitalpa,Chitalpa 'Morning Cloud',Perennial,Average,"full sun, part shade"
233,Pink Dawn Chitalpa,Chitalpa 'Pink Dawn',Perennial,Average,"full sun, part shade"
234,Harlequin Glorybower,Clerodendrum trichotomum,Perennial,Average,"full sun, part shade"
235,Torbay Dazzler Grass Palm,Cordyline australis 'Torbay Dazzler',Perennial,Frequent,"full sun, part shade"
236,Constellation Flowering Dogwood,Cornus 'Constellation',Perennial,Frequent,"full sun, part shade"
237,Eddie's White Wonder Flowering Dogwood,Cornus 'Eddie's White Wonder',Perennial,Average,"Filtered shade,  Full sun,  Part sun/part shade"
238,Aurora Flowering Dogwood,Cornus 'Rutban',Perennial,Frequent,"full sun, part shade"
239,Celestial Flowering Dogwood,Cornus 'Rutdan',Perennial,Frequent,"full sun, part shade"
240,Stellar Pink Flowering Dogwood,Cornus 'Stellar Pink',Perennial,Average,"full sun, part shade"
241,Venus Flowering Dogwood,Cornus 'Venus',Perennial,Average,"full sun, part shade"
242,Pagoda Dogwood,Cornus alternifolia,Perennial,Average,"full sun, part sun/part shade, part shade"
243,Variegated Pagoda Dogwood,Cornus alternifolia 'Argentea',Perennial,Average,"full sun, part sun/part shade"
244,Variegated Giant Dogwood,Cornus controversa 'Variegata',Perennial,Frequent,"full sun, part shade"
245,Cherokee Brave Flowering Dogwood,Cornus florida 'Cherokee Brave',Perennial,Average,"full sun, part sun/part shade"
246,Cherokee Chief Flowering Dogwood,Cornus florida 'Cherokee Chief',Perennial,Average,"full sun, part sun/part shade"
247,Cherokee Daybreak Flowering Dogwood,Cornus florida 'Cherokee Daybreak',Perennial,Average,"full sun, part sun/part shade"
248,Cherokee Princess Flowering Dogwood,Cornus florida 'Cherokee Princess',Perennial,Average,"Full sun,  Part sun/part shade"
249,Cherokee Sunset Flowering Dogwood,Cornus florida 'Cherokee Sunset',Perennial,Average,"full sun, part sun/part shade"
250,Red Flowering Dogwood,Cornus florida 'var. rubra',Perennial,Average,"Full sun,  Part sun/part shade"
251,Chinese Dogwood,Cornus kousa,Perennial,Average,"Full sun, part shade"
252,Blue Shadow Chinese Dogwood,Cornus kousa 'Blue Shadow',Perennial,Average,"Full sun, part shade"
253,China Girl Chinese Dogwood,Cornus kousa 'China Girl',Perennial,Frequent,"part shade, part sun/part shade"
254,Heart Throb Chinese Dogwood,Cornus kousa 'Heart Throb',Perennial,Average,"Full sun, part shade"
255,Milky Way Chinese Dogwood,Cornus kousa 'Milky Way',Perennial,Average,"Full sun, part shade"
256,National Chinese Dogwood,Cornus kousa 'National',Perennial,Average,"Full sun, part shade"
257,Samaritan Chinese Dogwood,Cornus kousa 'Samaritan',Perennial,Average,"Full sun, part shade"
258,Satomi Chinese Dogwood,Cornus kousa 'Satomi',Perennial,Average,"full sun, part shade"
259,Starlight Chinese Dogwood,Cornus kousa 'Starlight',Perennial,Average,"full sun, part shade"
260,Chinese Dogwood,Cornus kousa 'var. chinensis',Perennial,Average,"part sun/part shade, part shade"
261,Wolf Eyes Chinese Dogwood,Cornus kousa 'Wolf Eyes',Perennial,Average,"Full sun, part shade"
262,Cornelian Cherry Dogwood,Cornus mas,Perennial,Average,"full sun, part shade"
263,Golden Cornelian Cherry Dogwood,Cornus mas 'Aurea',Perennial,Average,"Full sun, part shade"
264,Variegated Cornelian Cherry Dogwood,Cornus mas 'Variegata',Perennial,Average,"full sun, part shade"
265,Paul's Scarlet English Hawthorn,Crataegus laevigata 'Paul's Scarlet',Perennial,Frequent,Full sun
266,Japanese Cedar,Cryptomeria japonica,Perennial,Average,"Full sun,  Part sun/part shade,  Sheltered"
267,Yoshino Japanese Cedar,Cryptomeria japonica 'Yoshino',Perennial,Average,"Full sun,  Part sun/part shade,  Sheltered"
268,Leyland Cypress,Cupressocyparis x leylandii,Perennial,Frequent,"full sun, part shade"
269,Castlewellan Leyland Cypress,Cupressocyparis x leylandii 'Castlewellan',Perennial,Frequent,"full sun, part shade"
270,Gold Rider Leyland Cypress,Cupressocyparis x leylandii 'Gold Rider',Perennial,Average,"full sun, part shade"
271,Naylor's Blue Leyland Cypress,Cupressocyparis x leylandii 'Naylor's Blue',Perennial,Average,"full sun, part shade"
272,Dove Tree,Davidia involucrata,Perennial,Average,"full sun, part shade"
273,Japanese Persimmon,Diospyros kaki,Perennial,Average,"full sun, part shade"
274,Common Persimmon,Diospyros virginiana,Perennial,Average,full sun
275,Mountain Pepper,Drimys lanceolata,Perennial,Average,"Full sun, part shade"
