id,common_name,scientific_name,cycle,watering,sunlight
1423,boxwood,Buxus sempervirens 'Appalachian Pyramid',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1424,boxwood,Buxus sempervirens 'Aurea Pendula',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1425,boxwood,Buxus sempervirens 'Chloe',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1426,boxwood,Buxus sempervirens 'Dee Runk',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1427,boxwood,Buxus sempervirens 'Edgar Anderson',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1428,boxwood,Buxus sempervirens 'Elegantissima',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1429,boxwood,Buxus sempervirens 'Fastigiata',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1430,boxwood,Buxus sempervirens 'Flora Place',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1431,boxwood,Buxus sempervirens 'Furore' Jade Pillar,Perennial,Average,"Deep shade, Filtered shade, Full sun only if soil kept moist, Part sun/part shade"
1432,boxwood,Buxus sempervirens 'Graham Blandy',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1433,boxwood,Buxus sempervirens 'Henry Shaw',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1434,boxwood,Buxus sempervirens 'Inglis',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1435,boxwood,Buxus sempervirens 'Joy',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1436,boxwood,Buxus sempervirens 'Mary Gamble',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1437,boxwood,Buxus sempervirens 'Memorial',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1438,boxwood,Buxus sempervirens 'Myrtifolia',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1439,boxwood,Buxus sempervirens 'Natchez',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1440,boxwood,Buxus sempervirens 'Nish',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1441,boxwood,Buxus sempervirens 'Paramus',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1442,boxwood,Buxus sempervirens 'Pullman',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1443,boxwood,Buxus sempervirens 'Rochester',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1444,boxwood,Buxus sempervirens 'Saint Genevieve',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1445,boxwood,Buxus sempervirens 'Salicifolia',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1446,boxwood,Buxus sempervirens 'Silver Beauty',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1447,boxwood,Buxus sempervirens 'Treska Gorge',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1448,boxwood,Buxus sempervirens 'Vardar Valley',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1449,boxwood,Buxus sempervirens 'Variegata',Perennial,Average,"Deep shade,  Filtered shade,  Full sun only if soil kept moist,  Part sun/part shade"
1450,Korean boxwood,Buxus sinica var. insularis,Perennial,Average,"Full sun, part shade"
1451,Korean boxwood,Buxus sinica var. insularis 'Tide Hill',Perennial,Average,"Full sun, part shade"
1452,Korean boxwood,Buxus sinica var. insularis 'Wintergreen',Perennial,Average,"Full sun, part shade"
1453,Carolina fanwort,Cabomba caroliniana,Herbaceous Perennial,Frequent,"full sun, part sun/part shade"
1454,divi-divi,Caesalpinia coriaria,Perennial,Minimum,"Full sun, part shade"
1455,poinciana,Caesalpinia gilliesii,Perennial,Frequent,"full sun, part sun/part shade"
1456,pride of barbados,Caesalpinia pulcherrima,Perennial,Frequent,full sun
1457,angel wings,Caladium bicolor,Perennial,Average,"part shade, part sun/part shade"
1458,elephant's ear,Caladium 'Burning Heart',Perennial,Average,Part shade
1459,feather reed grass,Calamagrostis acutiflora,Perennial,Frequent,Full sun
1460,feather reed grass,Calamagrostis acutiflora 'Avalanche',Perennial,Frequent,Full sun
1461,feather reed grass,Calamagrostis acutiflora 'Karl Foerster',Perennial,Frequent,Full sun
1462,feather reed grass,Calamagrostis acutiflora 'Overdam',Perennial,Frequent,Full sun
1463,reed grass,Calamagrostis brachytricha,Perennial,Frequent,full sun
1464,calamint,Calamintha nepeta,Herbaceous Perennial,Minimum,Full sun
1465,calamint,Calamintha nepeta 'Montrose White',Herbaceous Perennial,Minimum,Full sun
1466,calamint,Calamintha nepeta subsp. nepeta,Herbaceous Perennial,Minimum,Full sun
1467,Cumberland reed grass,Calamovilfa arcuata,Perennial,Frequent,Full sun
1468,orchid,Calanthe 'Kozu Spice',Perennial,Frequent,"part sun/part shade, filtered shade"
1469,rattlesnake plant,"Calathea lancifolia, Goeppertia insignis",Herbaceous Perennial,Average,"part shade, part sun/part shade"
1470,peacock plant,Calathea makoyana,Herbaceous Perennial,Average,"part shade, part sun/part shade"
1471,zebra plant,Calathea zebrina,Herbaceous Perennial,Average,"part shade, part sun/part shade"
1472,slipper flower,Calceolaria (Herbeohybrida Group),Herbaceous Perennial,Average,"Part shade, full shade"
1473,marigold,Calendula officinalis,Annual,Average,full sun
1474,million bells,Calibrachoa (group),Herbaceous Perennial,Frequent,full sun
1475,million bells,Calibrachoa 'Sunbelkist' MILLION BELLS TERRA COTTA,Herbaceous Perennial,Average,Full sun
1476,water arum,Calla palustris,Herbaceous Perennial,Average,"part shade, full shade"
1477,powder puff tree,Calliandra haematocephala,Perennial,Average,Full sun
1478,beautyberry,Callicarpa americana,Perennial,Average,"Full sun, part shade"
1479,beautyberry,Callicarpa bodinieri,Perennial,Average,full sun
1480,beautyberry,Callicarpa bodinieri var. giraldii 'Profusion',Perennial,Average,"Full sun, part shade"
1481,beautyberry,Callicarpa cathayana,Perennial,Average,"Full sun, part shade"
1482,beautyberry,Callicarpa dichotoma,Perennial,Average,"Full sun, part shade"
1483,beautyberry,Callicarpa dichotoma 'Early Amethyst',Perennial,Average,"Full sun, part shade"
1484,beautyberry,Callicarpa dichotoma f. albifructa,Perennial,Average,"Full sun, part shade"
1485,beautyberry,Callicarpa dichotoma f. albifructa 'Duet',Perennial,Average,"Full sun, part shade"
1486,beautyberry,Callicarpa dichotoma 'Issai',Perennial,Average,"Full sun, part shade"
1487,beautyberry,Callicarpa dichotoma 'Shiji Murasaki' WINE SPRITZER,Perennial,Average,"Full sun, part shade"
1488,Japanese beautyberry,Callicarpa japonica,Perennial,Average,"Full sun, part shade"
1489,beautyberry,Callicarpa japonica 'Heavy Berry',Perennial,Average,"Full sun, part shade"
1490,shikoku beautyberry,Callicarpa shikokiana,Perennial,Average,"Full sun, part shade"
1491,black wattle,Callicoma serratifolia,Perennial,Average,"Full sun, part shade"
1492,prairie poppy mallow,Callirhoe alcaeoides,Herbaceous Perennial,Minimum,Full sun
1493,prairie poppy mallow,Callirhoe alcaeoides 'Logan Calhoun',Herbaceous Perennial,Minimum,Full sun
1494,Bush's poppy mallow,Callirhoe bushii,Herbaceous Perennial,Minimum,Full sun
1495,fringed poppy mallow,Callirhoe digitata,Herbaceous Perennial,Minimum,Full sun
1496,purple poppy mallow,Callirhoe involucrata,Herbaceous Perennial,Minimum,Full sun
1497,clustered poppy mallow,Callirhoe triangulata,Herbaceous Perennial,Minimum,Full sun
1498,bottlebrush bush,Callistemon acuminatus,Perennial,Minimum,Full sun
1499,crimson bottlebrush,Callistemon citrinus,Perennial,Average,Full sun
1500,lemon bottlebrush,Callistemon pallidus,Perennial,Frequent,"Full sun, part shade"
1501,stiff bottlebrush,Callistemon rigidus,Perennial,Average,Full sun
1502,bottlebrush bush,Callistemon 'Woodlander's Hardy',Perennial,Minimum,Full sun
1503,China aster,Callistephus chinensis,Annual,Average,"Full sun, part shade"
1504,Scotch heather,Calluna vulgaris,Perennial,Average,"full sun, part shade"
1505,Scotch heather,Calluna vulgaris 'Beoley Gold',Perennial,Average,"full sun, part shade"
1506,Scotch heather,Calluna vulgaris 'Gold Haze',Perennial,Average,"full sun, part shade"
1507,Scotch heather,Calluna vulgaris 'Spring Torch',Perennial,Average,"full sun, part shade"
1508,grass pink orchid,Calopogon tuberosus,Herbaceous Perennial,Frequent,"full sun, part shade"
1509,giant milkweed,Calotropis gigantea,Perennial,Average,Full sun
1510,roostertree,Calotropis procera,Perennial,Minimum,"Full sun, part shade"
1511,marsh marigold,Caltha palustris,Herbaceous Perennial,Frequent,"Sun,  Partial Shade"
1512,Chinese sweetshrub,Calycanthus chinensis,Perennial,Average,"Full sun, part shade"
1513,Carolina allspice,Calycanthus floridus,Perennial,Average,"Full sun, part shade"
1514,Carolina allspice,Calycanthus floridus 'Athens',Perennial,Average,"Full sun, part shade"
1515,Californian allspice,Calycanthus occidentalis,Perennial,Average,"Full sun, part shade"
1516,Carolina allspice,Calycanthus raulstonii 'Hartlage Wine',Perennial,Average,"Full sun, part shade"
1517,Carolina allspice,Calycanthus 'SMNCAF' SIMPLY SCENTSATIONAL,Perennial,Average,"Full sun, part shade"
1518,Carolina allspice,Calycanthus 'Venus',Perennial,Average,"Full sun, part shade"
1519,shrubby evening primrose,Calylophus serrulatus,Herbaceous Perennial,Minimum,Full sun
1520,prairie camas,Camassia angusta,Perennial,Average,"Full sun, part shade"
1521,Cusick's camass,Camassia cusickii,Perennial,Frequent,"Full sun, part shade"
1522,large camas,Camassia leichtlinii,Perennial,Average,Sun
1523,camass,Camassia leichtlinii subsp. suksdorfii 'Blauwe Donau' BLUE DANUBE,Perennial,Average,"full sun, part shade"
1524,camass,Camassia leichtlinii subsp. suksdorfii (Caerulea Group),Perennial,Average,"full sun, part shade"
1525,wild hyacinth,Camassia scilloides,Perennial,Average,"Partial Shade,  Shade"
1526,camellia,Camellia crapnelliana,Perennial,Average,Part shade
1527,camellia,Camellia edithae,Perennial,Average,Part shade
1528,camellia,Camellia japonica,Perennial,Average,Part shade
1529,camellia,Camellia japonica 'April Dawn',Perennial,Average,Part shade
1530,camellia,Camellia japonica 'April Rose',Perennial,Average,Part shade
1531,camellia,Camellia japonica 'April Snow',Perennial,Average,Part shade
1532,camellia,Camellia japonica 'April Tryst',Perennial,Average,Part shade
1533,camellia,Camellia japonica 'Korean Fire',Perennial,Average,Part shade
1534,camellia,Camellia oleifera,Perennial,Average,"Full sun, part shade"
1535,yellow camellia,Camellia petelotii var. petelotii,Perennial,Average,Part shade
1536,camellia,Camellia reticulata 'Dataohung' CRIMSON ROBE,Perennial,Average,Part shade
1537,camellia,Camellia rosiflora,Perennial,Average,Part shade
1538,camellia,Camellia sasanqua,Perennial,Average,"Full sun,  Part sun/part shade,  Sheltered"
1539,tea,Camellia sinensis,Perennial,Average,Part shade
1540,camellia,Camellia transnokoensis,Perennial,Average,Part shade
1541,tall bellflower,Campanula americana,Herbaceous Perennial,Average,"Full sun, part shade"
1542,bellflower,Campanula bononiensis,Herbaceous Perennial,Average,"Full sun, part shade"
1543,tussock bellflower,Campanula carpatica f. alba 'Weisse Clips' WHITE CLIPS,Herbaceous Perennial,Average,"Full sun, part shade"
1544,bellflower,Campanula collina,Herbaceous Perennial,Average,"Full sun, part shade"
1545,Adriatic bellflower,Campanula garganica 'Dickson's Gold',Herbaceous Perennial,Average,"Full sun, part shade"
1546,clustered bellflower,Campanula glomerata,Herbaceous Perennial,Average,"full sun, part shade"
1547,clustered bellflower,Campanula glomerata BELLEFLEUR BLUE,Herbaceous Perennial,Average,"full sun, part shade"
1548,clustered bellflower,Campanula glomerata 'Caroline',Herbaceous Perennial,Average,"full sun, part shade"
1549,clustered bellflower,Campanula glomerata 'Church Bells',Herbaceous Perennial,Average,"full sun, part shade"
1550,clustered bellflower,Campanula glomerata 'Superba',Herbaceous Perennial,Average,"full sun, part shade"
1551,Odessa bellflower,Campanula glomerata var. dahurica 'Odessa',Herbaceous Perennial,Average,"full sun, part shade"
1552,bellflower,Campanula incurva,Herbaceous Perennial,Average,"Full sun, part shade"
1553,bellflower,Campanula kemulariae,Herbaceous Perennial,Average,"Full sun, part shade"
1554,bellflower,Campanula 'Kent Belle',Herbaceous Perennial,Average,"Full sun, part shade"
1555,milky bellflower,Campanula lactiflora 'Pouffe',Herbaceous Perennial,Average,"Full sun, part shade"
1556,bellflower,Campanula latifolia,Herbaceous Perennial,Average,"full sun, part shade"
1557,willow bell,Campanula persicifolia,Herbaceous Perennial,Average,"full sun, part shade"
1558,willow bell,Campanula persicifolia 'Alba',Herbaceous Perennial,Average,"full sun, part shade"
1559,peach-leaved bellflower,Campanula persicifolia 'Chettle Charm',Herbaceous Perennial,Average,"full sun, part shade"
1560,willow bell,Campanula persicifolia 'Grandiflora Caerulea',Herbaceous Perennial,Average,"full sun, part shade"
1561,willow bell,Campanula persicifolia 'Kelly's Gold',Herbaceous Perennial,Average,"full sun, part shade"
1562,willow bell,Campanula persicifolia 'Telham Beauty',Herbaceous Perennial,Average,"full sun, part shade"
1563,Dalmation bellflower,Campanula portenschlagiana 'Aurea',Herbaceous Perennial,Average,"Full sun, part shade"
1564,Serbian bellflower,Campanula poscharskyana,Herbaceous Perennial,Average,"Full sun, part shade"
1565,Serbian bellflower,Campanula poscharskyana 'Stella',Herbaceous Perennial,Average,"Full sun, part shade"
1566,spotted bellflower,Campanula punctata,Herbaceous Perennial,Average,"Full sun, part shade"
1567,spotted bellflower,Campanula punctata 'Cherry Bells',Herbaceous Perennial,Average,"Full sun, part shade"
1568,spotted bellflower,Campanula punctata 'Pink Chimes',Herbaceous Perennial,Average,"Full sun, part shade"
1569,rampion bellflower,Campanula rapunculoides,Herbaceous Perennial,Average,"Sun,  Partial Shade"
1570,rampion,Campanula rapunculus,Herbaceous Perennial,Average,"Full sun, part shade"
1571,bluebell,Campanula rotundifolia,Herbaceous Perennial,Minimum,"Sun,  Partial Shade"
1572,bluebell,Campanula rotundifolia 'Olympica',Herbaceous Perennial,Minimum,"Sun,  Partial Shade"
1573,bellflower,Campanula 'Sarastro',Herbaceous Perennial,Average,"Full sun, part shade"
1574,bellflower,Campanula sarmatica,Herbaceous Perennial,Average,"Full sun, part shade"
1575,bellflower,Campanula 'Summertime Blues',Herbaceous Perennial,Average,"Full sun, part shade"
1576,bellflower,Campanula takesimana 'Beautiful Trust',Herbaceous Perennial,Average,"Full sun, part shade"
1577,bellflower,Campanula takesimana 'Elizabeth',Herbaceous Perennial,Average,"Full sun, part shade"
1578,nettle-leaved bellflower,Campanula trachelium,Herbaceous Perennial,Average,"full sun, part shade"
1579,Chinese trumpet creeper,Campsis grandiflora,Perennial,Average,"Full sun, part shade"
1580,Chinese trumpet creeper,Campsis grandiflora 'Morning Calm',Perennial,Average,"Full sun, part shade"
1581,trumpetcreeper,Campsis radicans,Perennial,Frequent,"Sun,  Partial Shade"
1582,trumpetcreeper,Campsis radicans 'Apricot',Perennial,Frequent,"Sun,  Partial Shade"
1583,trumpetcreeper,Campsis radicans f. flava,Perennial,Frequent,"Sun,  Partial Shade"
1584,trumpetcreeper,Campsis radicans 'Indian Summer',Perennial,Frequent,"Sun,  Partial Shade"
1585,trumpet creeper,Campsis tagliabuana,Perennial,Average,"Full sun, part shade"
1586,trumpet creeper,Campsis tagliabuana 'Madame Galen',Perennial,Average,"Full sun, part shade"
1587,camptosema,Camptosema praeandinum,Perennial,Average,"Full sun, part shade"
1588,canna,Canna (aquatic group),Herbaceous Perennial,Frequent,"Full sun, part shade"
1589,canna,Canna 'Australia',Perennial,Average,Full sun
1590,canna,Canna (group),Perennial,Average,Full sun
1591,canna,Canna 'Striata',Perennial,Average,Full sun
1592,caper,Capparis sandwichiana,Perennial,Minimum,Full sun
1593,caper,Capparis spinosa,Perennial,Minimum,Full sun
1594,caper,Capparis spinosa var. inermis,Perennial,Minimum,Full sun
1595,cayenne pepper,Capsicum annuum,Herbaceous Perennial,Average,full sun
1596,sweet pepper,Capsicum annuum 'Bananarama',Herbaceous Perennial,Average,Full sun
1597,ornamental pepper,Capsicum annuum 'Black Pearl',Herbaceous Perennial,Average,full sun
1598,ornamental pepper,Capsicum annuum 'Chinese Five Color',Herbaceous Perennial,Frequent,"full sun, part sun/part shade"
1599,hot pepper,Capsicum annuum 'Holy Mole',Herbaceous Perennial,Average,Full sun
1600,pepper,Capsicum annuum (Hot Pepper Group),Herbaceous Perennial,Average,full sun
1601,ornamental pepper,Capsicum annuum 'Onyx Red',Herbaceous Perennial,Average,full sun
1602,sweet bell pepper,Capsicum annuum 'Park's Early Thickset',Herbaceous Perennial,Average,Full sun
1603,ornamental pepper,Capsicum annuum 'Purple Flash',Herbaceous Perennial,Average,full sun
1604,pepper,Capsicum chinense,Herbaceous Perennial,Frequent,full sun
1605,habanero pepper,Capsicum chinense 'Roulette',Herbaceous Perennial,Average,full sun
1606,Siberian peashrub,Caragana arborescens,Perennial,Minimum,Full sun
1607,rose peashrub,Caragana rosea,Perennial,Minimum,Full sun
1608,cutleaf toothwort,Cardamine concatenata,Herbaceous Perennial,Average,"Sun,  Partial Shade"
1609,bitter cress,Cardamine pratensis,Herbaceous Perennial,Frequent,"full sun, part shade"
1610,trifoliate bittercress,Cardamine trifolia,Herbaceous Perennial,Average,"Part shade, full shade"
1611,Cardiandra,Cardiandra alternifolia,Perennial,Average,Part shade
1612,giant lily,Cardiocrinum giganteum,Perennial,Average,Part shade
1613,giant lily,Cardiocrinum giganteum var. yunnanense,Perennial,Average,Part shade
1614,broadwing sedge,Carex alata,Perennial,Frequent,"Sun,  Partial Shade"
1615,white-tinged sedge,Carex albicans,Perennial,Average,"Sun,  Partial Shade"
1616,sedge,Carex annectens,Perennial,Frequent,Sun
1617,prairie sedge,Carex bicknellii,Perennial,Average,"Sun,  Partial Shade,  Shade"
1618,brome-like sedge,Carex bromoides,Perennial,Frequent,Part shade
1619,leatherleaf sedge,Carex buchananii,Perennial,Frequent,"Full sun, part shade"
1620,leatherleaf sedge,Carex buchananii 'Red Rooster',Perennial,Average,"Full sun, part shade"
1621,Bush's sedge,Carex bushii,Perennial,Frequent,"Full sun, part shade"
1622,sedge,Carex cherokeensis,Perennial,Frequent,"Full sun, part shade"
1623,sedge,Carex ciliatomarginata 'Treasure Island',Perennial,Frequent,"Part shade, full shade"
1624,sedge,Carex comans,Perennial,Average,"Full sun,  Part sun/part shade"
1625,sedge,Carex comans 'Frosted Curls',Perennial,Average,"Full sun,  Part sun/part shade"
1626,sedge,Carex conica 'Snowline',Perennial,Frequent,"Part shade, full shade"
1627,fringed sedge,Carex crinita,Perennial,Frequent,"Full sun, part shade"
1628,sedge,Carex cristatella,Perennial,Frequent,"Sun,  Partial Shade"
1629,sedge,Carex crus-corvi,Perennial,Average,"part sun/part shade, full sun"
1630,Davis's sedge,Carex davisii,Perennial,Average,"part sun/part shade, full sun"
1631,sedge,Carex dolichostachya 'Kaga-nishiki' GOLD FOUNTAINS,Perennial,Average,"part shade, full sun"
1632,bristle-leaved sedge,Carex eburnea,Perennial,Average,"Part shade, full shade"
1633,tufted sedge,Carex elata,Perennial,Frequent,"Full sun, part shade"
1634,Bowles' golden sedge,Carex elata 'Aurea',Perennial,Frequent,"Part shade, full shade"
1635,blue green sedge,Carex flacca,Perennial,Frequent,"Sun,  Partial Shade"
1636,blue sedge,Carex flacca 'Blue Zinger',Perennial,Frequent,"Sun,  Partial Shade"
1637,blue wood sedge,Carex flaccosperma,Perennial,Frequent,"Part shade, full shade"
1638,Frank's sedge,Carex frankii,Perennial,Frequent,"Sun,  Partial Shade"
1639,gray sedge,Carex grayi,Perennial,Frequent,"Sun,  Partial Shade,  Deciduous Shade (Spring Sun)"
1640,Hayden's sedge,Carex haydenii,Perennial,Frequent,"Sun,  Partial Shade"
1641,sedge,Carex 'Ice Dance',Perennial,Average,"Part shade, full shade"
1642,sedge,Carex laxiculmis,Herbaceous Perennial,Frequent,Deciduous Shade (Spring Sun)
1643,sedge,Carex laxiculmis 'Hobb' BUNNY BLUE,Herbaceous Perennial,Frequent,Deciduous Shade (Spring Sun)
1644,oval sedge,Carex leporina,Perennial,Frequent,"Part shade, full shade"
1645,sallow sedge,Carex lurida,Perennial,Average,"full sun, part sun/part shade"
1646,Japanese grass sedge,Carex morrowii,Perennial,Frequent,"Part shade, full shade"
1647,Japanese grass sedge,Carex morrowii 'Goldband',Perennial,Frequent,"Part shade, full shade"
1648,Japanese grass sedge,Carex morrowii var. temnolepis 'Silk Tassel',,Frequent,"Part shade, full shade"
1649,Japanese grass sedge,Carex morrowii 'Variegata',Perennial,Frequent,"Part shade, full shade"
1650,palm sedge,Carex muskingumensis,Perennial,Frequent,"full sun, part shade"
1651,palm sedge,Carex muskingumensis 'Oehme',Perennial,Frequent,"full sun, part shade"
1652,palm sedge,Carex muskingumensis 'Wachtposten',Perennial,Frequent,"full sun, part shade"
1653,black sedge,Carex nigra,Perennial,Frequent,"Sun,  Partial Shade"
1654,black sedge,Carex nigra 'Variegata',Perennial,Frequent,"Sun,  Partial Shade"
1655,greater straw sedge,Carex normalis,Perennial,Frequent,"Sun,  Partial Shade"
1656,sedge,Carex oshimensis 'CarFit01' EVERCOLOR EVEREST,Perennial,Frequent,Part shade
1657,sedge,Carex oshimensis 'Evergold',Perennial,Frequent,Part shade
1658,sedge,Carex oshimensis 'Everillo',Perennial,Frequent,Part shade
1659,sedge,Carex oshimensis 'Everoro',Perennial,Frequent,Part shade
1660,sedge,Carex oshimensis 'Gold Strike',Perennial,Average,"full sun, part sun/part shade"
1661,sedge,Carex pensylvanica,Perennial,Minimum,"Sun,  Partial Shade,  Shade"
1662,sedge,Carex pensylvanica 'Straw Hat',Perennial,Minimum,"Sun,  Partial Shade,  Shade"
1663,sedge,Carex 'Phoenix Green',Perennial,Frequent,"part shade, full sun"
1664,sedge,Carex phyllocephala 'Sparkler',Perennial,Frequent,"Part shade, full shade"
1665,clustered field sedge,Carex praegracilis,Perennial,Frequent,Sun
1666,eastern star sedge,Carex radiata,Perennial,Minimum,"full sun, part sun/part shade"
1667,reflexed sedge,Carex retroflexa,Perennial,Minimum,"Partial Shade,  Deciduous Shade (Spring Sun)"
1668,sedge,Carex siderosticha 'Banana Boat',Perennial,Average,"part shade, full shade"
1669,sedge,Carex siderosticha 'Kisokaido' SPRING SNOW,Perennial,Frequent,"Part shade, full shade"
1670,sedge,Carex siderosticha 'Lemon Zest',Perennial,Frequent,"Part shade, full shade"
1671,sedge,Carex siderosticha 'Shima-nishiki' ISLAND BROCADE,Perennial,Frequent,"Part shade, full shade"
1672,sedge,Carex 'Silver Sceptre',Perennial,Frequent,"Part shade, full shade"
1673,squarrose sedge,Carex squarrosa,Perennial,Frequent,"Sun,  Partial Shade"
1674,tussock sedge,Carex stricta,Perennial,Frequent,"full sun, part shade"
1675,sedge,Carex swanii,Perennial,Frequent,"full sun, part shade"
1676,Berkeley sedge,Carex tumulicola,Perennial,Frequent,"Sun,  Partial Shade"
1677,fox sedge,Carex vulpinoidea,Perennial,Frequent,Sun
1678,papaya,Carica papaya,Perennial,Average,Full sun
1679,papaya,Carica papaya 'T. R. Hovey',Perennial,Average,Full sun
1680,bush anemone,Carpenteria californica 'Elizabeth',Perennial,Minimum,"Full sun, part shade"
1681,common hornbeam,Carpinus betulus 'Columnaris Nana',Perennial,Average,"Full sun, part shade"
1682,American hornbeam,Carpinus caroliniana,Perennial,Average,"Partial Shade,  Shade"
1683,hornbeam,Carpinus cordata,Perennial,Average,"Part shade, full shade"
1684,oriental hornbeam,Carpinus orientalis,Perennial,Average,"Part shade, full shade"
1685,bitternut hickory,Carya cordiformis,Perennial,Frequent,"Sun,  Partial Shade"
1686,pignut,Carya glabra,Perennial,Average,"Full sun, part shade"
1687,hardy pecan,Carya illinoinensis,Perennial,Average,Full sun
1688,hardy pecan,Carya illinoinensis 'Montgomery',Perennial,Average,Full sun
1689,shellbark hickory,Carya laciniosa,Perennial,Frequent,"Full sun, part shade"
1690,hickory,Carya laneyi,Perennial,Average,"Full sun, part shade"
1691,shagbark hickory,Carya ovata,Perennial,Average,full sun
1692,mockernut,Carya tomentosa,Perennial,Average,Sun
1693,bluebeard,Caryopteris clandonensis 'Arthur Simmonds',Perennial,Average,Full sun
1694,bluebeard,Caryopteris clandonensis 'Blauer Splatz' SAPPHIRE SURF,Perennial,Average,Full sun
1695,bluebeard,Caryopteris clandonensis 'Blue Mist',Perennial,Frequent,Full sun
1696,bluebeard,Caryopteris clandonensis 'Dark Knight',Perennial,Average,Full sun
1697,bluebeard,Caryopteris clandonensis 'Heavenly Blue',Perennial,Average,Full sun
1698,bluebeard,Caryopteris clandonensis 'Inoveris' GRAND BLEU,Perennial,Average,Full sun
1699,bluebeard,Caryopteris clandonensis 'Lissilv' STERLING SILVER,Perennial,Average,Full sun
1700,bluebeard,Caryopteris clandonensis 'Longwood Blue',Perennial,Average,Full sun
1701,bluebeard,Caryopteris clandonensis 'Summer Sorbet',Perennial,Average,Full sun
1702,bluebeard,Caryopteris clandonensis 'Worcester Gold',Perennial,Average,Full sun
1703,bluebeard,Caryopteris incana 'Blue Myth',Perennial,Average,Full sun
1704,bluebeard,Caryopteris incana 'DCARBEYBAR' BEYOND PINK'D,Perennial,Average,Full sun
1705,wishing tree,Cassia bakeriana,Perennial,Average,Full sun
1706,pink shower,Cassia grandis,Perennial,Average,Full sun
1707,pink shower,Cassia nealiae 'Queen's Hospital White',Perennial,Average,Full sun
1708,cassiope,Cassiope 'Randle Cooke',Perennial,Frequent,"Full sun, part shade"
1709,Japanese chestnut,Castanea crenata,Perennial,Average,Full sun
1710,American chestnut,Castanea dentata,Perennial,Average,Full sun
1711,Ozark chinquapin,Castanea ozarkensis,Perennial,Average,Full sun
1712,Indian paintbrush,Castilleja coccinea,Herbaceous Perennial,Average,Sun
1713,Chinese catalpa,Catalpa ovata,Perennial,Frequent,"full sun, part shade"
1714,cupid's dart,Catananche caerulea,Herbaceous Perennial,Average,Full sun
1715,Madagascar periwinkle,Catharanthus roseus,Herbaceous Perennial,Average,"full sun, part shade"
1716,orchid,Cattleya (group),Perennial,Average,"part shade, part sun/part shade"
1717,cautleya,Cautleya cathcartii,Herbaceous Perennial,Average,Part shade
1718,cautleya,Cautleya gracilis,Herbaceous Perennial,Frequent,Part shade
1719,cavanillesia,Cavanillesia platanifolia,Perennial,Average,full sun
1720,New Jersey tea,Ceanothus americanus,Perennial,Minimum,"Sun,  Partial Shade"
1721,California lilac,Ceanothus 'Concha',Perennial,Minimum,Full sun
1722,California lilac,Ceanothus delileanus 'Gloire de Versailles',Perennial,Average,"Full sun, part shade"
1723,inland New Jersey tea,Ceanothus herbaceus,Perennial,Minimum,Full sun
1724,California lilac,Ceanothus 'Minmarose' MARIE ROSE,Perennial,Minimum,"Full sun, part shade"
1725,California lilac,Ceanothus pallidus 'Marie Simon',Perennial,Minimum,Full sun
1726,California lilac,Ceanothus pallidus 'Minmari' MARIE BLEU,Perennial,Minimum,Full sun
